country_code,publication_year,n_articles,n_oa_articles,n_ta_articles
IQ,2024,20984,6645,111
ES,2024,73267,35728,20572
DE,2024,96085,60143,46122
SE,2024,21056,15697,13011
PT,2024,19818,10184,5445
TW,2024,23991,10742,223
GR,2024,14083,7218,2225
PL,2024,47753,20929,5003
CO,2024,15925,4427,1539
EG,2024,32186,10867,385
IT,2024,76817,46267,22411
RU,2024,98050,18901,904
MY,2024,31035,9257,339
BR,2024,126427,24758,997
CZ,2024,14120,6450,3053
FR,2024,60342,23352,20060
CA,2024,63632,30321,17223
HK,2024,12843,4743,1178
CY,2024,2738,1240,211
GB,2024,106731,62923,50406
SG,2024,11046,3830,345
NO,2024,13406,8847,5432
KR,2024,68467,30743,1923
FI,2024,12103,8043,5977
CH,2024,22545,14706,10020
NL,2024,33135,22516,16531
JP,2024,92994,36578,11522
MN,2024,1203,491,21
JO,2024,6851,2675,66
HR,2024,6448,2200,56
SA,2024,29182,14268,661
BD,2024,13337,5019,289
IR,2024,52566,18880,399
EC,2024,14311,4306,101
UA,2024,26108,4784,216
NZ,2024,7767,4060,3212
RO,2024,13005,7038,131
LB,2024,2806,1228,118
MK,2024,1105,235,103
KE,2024,5486,1926,133
IE,2024,9670,5065,4748
DK,2024,14590,8870,5511
CU,2024,1351,309,23
PK,2024,31707,10099,288
AT,2024,13780,8809,6497
RS,2024,6511,2480,71
PE,2024,9755,2477,36
AL,2024,1008,319,6
VE,2024,1409,282,12
AM,2024,2011,412,15
TT,2024,253,78,2
ET,2024,9976,6329,228
TJ,2024,2648,630,6
TG,2024,407,123,9
MA,2024,11280,3029,198
AE,2024,6806,2991,130
LT,2024,3943,1844,170
QA,2024,2839,1686,79
CL,2024,13194,3994,273
CR,2024,3114,642,31
GT,2024,696,207,6
AZ,2024,2970,863,67
VN,2024,14373,4177,234
TH,2024,17846,8111,210
GH,2024,5502,2483,120
ZM,2024,1036,366,34
LY,2024,1091,502,12
CM,2024,2803,888,75
KH,2024,1221,369,67
NG,2024,21588,6634,338
IS,2024,870,354,54
TN,2024,6785,2123,165
MD,2024,958,212,10
KZ,2024,8083,2939,71
DZ,2024,8327,1814,92
BH,2024,705,217,27
NP,2024,6755,1646,44
SK,2024,5223,2315,892
KW,2024,1724,681,39
EE,2024,1748,743,65
AR,2024,13223,2304,226
TZ,2024,3574,1453,84
BE,2024,17042,6695,903
GM,2024,166,79,18
LV,2024,2159,884,34
BG,2024,5220,1841,58
UG,2024,2655,1284,65
LC,2024,48,33,0
BW,2024,536,241,98
MO,2024,3118,1167,27
SS,2024,448,126,84
RW,2024,1012,467,30
LA,2024,224,54,9
PS,2024,1352,575,36
ZW,2024,1124,362,38
SI,2024,4644,2422,874
MM,2024,536,177,14
LK,2024,2707,858,123
UY,2024,1955,410,27
MT,2024,558,232,22
GA,2024,159,82,15
BY,2024,2473,436,43
BO,2024,1188,227,24
MW,2024,606,305,52
CW,2024,83,15,8
GF,2024,114,55,19
BN,2024,487,168,7
MZ,2024,922,243,36
PY,2024,961,147,2
XK,2024,657,244,9
SO,2024,420,225,2
MU,2024,196,45,7
GE,2024,1406,349,9
PA,2024,1520,337,19
SD,2024,1231,465,30
LU,2024,1074,558,65
OM,2024,1868,590,32
ME,2024,464,119,14
BJ,2024,768,249,25
BF,2024,816,280,17
BA,2024,1646,408,9
ST,2024,74,23,4
PR,2024,1064,375,30
KG,2024,835,148,5
SV,2024,478,100,3
HN,2024,387,97,5
AG,2024,543,139,22
CD,2024,754,255,19
SN,2024,766,252,27
GY,2024,176,33,2
NE,2024,233,75,1
KN,2024,154,51,5
CI,2024,737,194,34
GP,2024,91,42,25
DO,2024,390,107,5
SJ,2024,19,14,4
KY,2024,18,6,3
FJ,2024,251,110,6
SM,2024,19,9,2
RE,2024,181,80,56
SY,2024,972,511,4
MG,2024,254,99,17
LS,2024,87,39,3
DJ,2024,33,22,2
GN,2024,166,37,3
BI,2024,280,84,37
MQ,2024,62,30,15
AF,2024,795,246,6
BT,2024,122,48,4
CG,2024,250,62,5
GU,2024,48,16,1
TM,2024,108,56,0
AO,2024,213,45,6
ML,2024,271,92,5
AS,2024,17,2,0
KP,2024,117,27,1
LI,2024,69,34,9
PG,2024,89,28,5
TL,2024,150,46,1
CV,2024,31,15,1
NA,2024,312,147,48
MR,2024,50,24,3
CF,2024,41,14,0
PF,2024,41,14,14
MV,2024,160,41,7
MC,2024,49,19,2
TC,2024,39,1,0
NI,2024,546,104,6
GD,2024,199,37,1
VI,2024,23,7,0
FO,2024,67,27,11
PW,2024,10,1,0
SR,2024,42,10,2
DM,2024,4,1,0
TD,2024,88,24,3
SZ,2024,63,25,4
GL,2024,62,37,12
SX,2024,43,2,0
JM,2024,167,43,4
LR,2024,52,21,0
NC,2024,59,32,21
SL,2024,192,82,3
GW,2024,42,12,5
MS,2024,5,2,0
BB,2024,117,32,1
HT,2024,66,24,5
ER,2024,35,18,3
VU,2024,12,3,1
BZ,2024,17,1,1
IM,2024,3,2,0
SC,2024,33,15,5
GI,2024,12,3,1
BM,2024,13,7,1
TO,2024,14,7,1
SB,2024,2,1,1
BS,2024,43,10,2
WS,2024,14,7,1
VA,2024,20,4,0
VC,2024,8,2,1
MP,2024,6,2,0
AD,2024,12,7,1
JE,2024,8,2,0
AW,2024,16,5,1
NU,2024,7,1,0
FK,2024,7,5,1
AX,2024,1,1,0
GQ,2024,4,3,0
FM,2024,1,0,0
MF,2024,3,1,0
VG,2024,11,2,0
NA,2023,1053940,158611,13
ID,2023,350558,87425,280
TR,2023,89334,16906,3435
RU,2023,118129,23208,761
PE,2023,10251,2076,33
ES,2023,79203,37098,20630
DE,2023,103829,58838,38452
IQ,2023,21915,6491,102
CN,2023,744593,263356,5274
AT,2023,14579,9355,6496
GB,2023,113890,67295,52681
US,2023,461781,156168,22994
CA,2023,68859,27598,8722
AG,2023,497,70,28
IR,2023,56721,18411,315
PL,2023,52885,21806,5217
BR,2023,129937,24749,795
SA,2023,30245,15223,597
RO,2023,14487,6616,99
JO,2023,6641,2422,47
GR,2023,15083,7667,1957
JP,2023,97282,35891,6859
KR,2023,72197,31295,1558
CZ,2023,15807,6600,2811
AU,2023,57603,33138,28372
IT,2023,82056,49315,23222
BE,2023,18826,7051,846
FR,2023,67994,21461,10103
HU,2023,13317,6103,2632
IN,2023,203437,38352,746
UA,2023,32617,5252,189
TZ,2023,3027,1102,75
NL,2023,36737,24817,18015
PK,2023,31963,10988,218
PT,2023,22501,11317,6054
KZ,2023,7619,2277,44
SE,2023,22318,16568,13698
NO,2023,14755,9586,5836
IE,2023,10602,5600,5004
IL,2023,14554,6375,2313
CO,2023,17058,4040,1590
MY,2023,32912,9378,333
SI,2023,4818,2514,1057
AR,2023,14693,2477,173
EG,2023,36202,12605,369
CH,2023,24785,15319,9766
FI,2023,12605,8342,5877
SK,2023,6011,2380,951
ZA,2023,19883,11199,4534
DK,2023,15704,8989,5219
NP,2023,6333,1255,48
NZ,2023,8956,4609,3696
TN,2023,6798,1868,103
TW,2023,25640,11240,166
CL,2023,13874,3815,244
RS,2023,7640,2333,54
MX,2023,32434,9323,210
NG,2023,23835,6765,259
VN,2023,13534,3680,216
BG,2023,5486,1802,71
LB,2023,2783,1048,76
MZ,2023,1235,249,25
UZ,2023,6475,1044,25
MD,2023,1280,228,7
KW,2023,1684,638,30
TH,2023,16867,7553,187
NC,2023,69,39,5
PR,2023,1090,368,19
HK,2023,12517,4224,374
PS,2023,1354,485,30
AE,2023,6600,2708,118
KE,2023,5828,2173,119
MA,2023,10741,2736,105
ML,2023,447,90,5
EE,2023,2092,846,83
EC,2023,11090,3175,93
BO,2023,1057,192,14
LT,2023,4086,1844,146
LV,2023,2524,989,37
QA,2023,3026,1701,66
SG,2023,11445,3832,349
LY,2023,792,234,12
ET,2023,9138,5545,180
DZ,2023,8204,1711,41
KH,2023,1137,280,43
HR,2023,7213,2297,47
CY,2023,2850,1075,107
MM,2023,424,118,17
YE,2023,1498,426,10
MT,2023,608,203,23
OM,2023,1784,547,21
BD,2023,12825,4503,238
KN,2023,162,55,4
BA,2023,1832,374,4
VE,2023,1498,253,17
BJ,2023,1015,309,13
MK,2023,1202,222,51
BH,2023,745,237,19
LK,2023,3266,1048,120
TJ,2023,2453,449,5
AZ,2023,2450,617,24
GH,2023,5651,2413,107
DO,2023,396,99,7
CR,2023,2762,457,24
LU,2023,1130,606,88
MO,2023,2775,937,17
SN,2023,978,216,9
MN,2023,1061,352,16
SS,2023,530,131,71
PH,2023,7884,1789,77
SY,2023,941,416,9
BY,2023,2894,451,48
XK,2023,648,237,4
AD,2023,12,5,2
CU,2023,1644,239,21
CI,2023,1037,227,16
GP,2023,114,51,4
CM,2023,3103,949,59
GD,2023,213,37,2
AF,2023,658,174,2
NA,2023,536,178,26
UY,2023,1997,436,24
GE,2023,1582,339,19
ZM,2023,962,326,18
SZ,2023,96,41,6
RW,2023,768,335,24
SD,2023,1448,538,24
BW,2023,544,220,47
MV,2023,116,37,8
MG,2023,287,90,9
TT,2023,340,98,4
UG,2023,2371,1159,53
AM,2023,2017,457,11
CD,2023,841,257,12
IS,2023,953,398,38
CK,2023,1,1,0
RE,2023,202,73,28
TG,2023,411,127,3
LS,2023,84,28,3
GT,2023,670,191,1
BN,2023,611,181,4
KG,2023,564,129,3
AL,2023,1025,277,13
PY,2023,1116,126,4
ZW,2023,1111,406,40
HN,2023,389,90,3
BF,2023,876,245,2
SV,2023,421,30,1
MW,2023,536,264,28
LA,2023,188,64,11
BB,2023,117,26,2
ER,2023,52,19,2
BI,2023,246,70,9
LR,2023,36,16,2
PA,2023,1224,242,35
ME,2023,436,111,6
LC,2023,20,2,0
FJ,2023,229,94,3
NI,2023,490,37,2
SR,2023,57,6,0
GM,2023,154,77,15
GY,2023,175,19,1
KP,2023,111,18,2
TC,2023,34,3,0
GF,2023,104,59,11
GN,2023,181,28,0
MR,2023,70,29,3
SO,2023,360,113,0
SL,2023,162,67,4
SM,2023,25,9,0
CW,2023,123,27,4
DJ,2023,48,20,2
CF,2023,67,14,0
AO,2023,242,42,3
ST,2023,96,10,1
AS,2023,6,0,0
PG,2023,99,40,7
GU,2023,63,27,2
JM,2023,210,53,3
SX,2023,64,11,0
TL,2023,96,36,0
CG,2023,299,69,1
CV,2023,33,11,2
BT,2023,167,48,2
NE,2023,210,66,1
PW,2023,8,1,1
GW,2023,59,16,3
MU,2023,255,56,6
PF,2023,54,15,5
TD,2023,103,17,1
MC,2023,62,27,8
VG,2023,9,4,0
TM,2023,87,8,0
WS,2023,19,6,2
SC,2023,21,8,2
LI,2023,68,34,20
FO,2023,42,21,2
KY,2023,22,12,2
IM,2023,3,0,0
HT,2023,56,21,0
BZ,2023,12,5,0
GI,2023,16,8,3
FK,2023,11,6,2
BM,2023,11,4,1
GL,2023,61,47,15
GA,2023,154,62,9
VI,2023,33,12,1
SB,2023,6,5,2
AW,2023,17,8,2
SJ,2023,9,5,4
MQ,2023,71,38,5
FM,2023,6,4,1
BS,2023,40,10,3
VA,2023,24,0,0
TO,2023,13,2,0
GQ,2023,4,3,0
JE,2023,3,2,2
VU,2023,11,3,2
MF,2023,10,0,0
DM,2023,10,1,0
VC,2023,11,4,0
MS,2023,22,6,0
NU,2023,2,0,0
YT,2023,1,0,0
TV,2023,1,0,0
MP,2023,2,1,0
AX,2023,1,1,0
KI,2023,3,1,0
NA,2022,1002788,130131,6
IN,2022,187124,32079,485
RU,2022,123176,20777,708
IT,2022,81835,43629,13021
ID,2022,275685,69198,158
NG,2022,22433,5663,174
PK,2022,30602,11021,188
CN,2022,723576,275742,4285
MX,2022,30153,8130,177
PL,2022,50152,22746,4621
EG,2022,36265,11824,243
TW,2022,28183,14323,125
AT,2022,14717,9186,5891
DE,2022,107048,59202,33002
US,2022,456777,143346,18041
ES,2022,77282,35225,18764
IL,2022,14593,5773,1487
GB,2022,115459,63253,52818
GR,2022,14704,6440,2107
SE,2022,22531,16091,13215
NO,2022,13913,8927,5587
HK,2022,11726,3576,165
IR,2022,59889,15632,236
JP,2022,102667,37202,825
KR,2022,72294,32192,1414
CA,2022,68910,24483,4439
TR,2022,84442,11627,613
FI,2022,13155,8441,5902
BG,2022,5031,1305,35
IQ,2022,19256,5261,77
SG,2022,11606,3657,190
FR,2022,70331,21317,8079
AM,2022,1721,277,5
SA,2022,28447,14206,464
NL,2022,36756,23958,17205
DK,2022,15457,8239,3916
SI,2022,4802,2312,746
BR,2022,126176,24045,558
BE,2022,18525,6903,666
MY,2022,30639,9659,306
OM,2022,1661,436,23
AU,2022,60015,26173,13489
NZ,2022,9414,3886,1732
TH,2022,16891,7675,147
PT,2022,21865,9760,1766
HU,2022,12665,5720,1431
CH,2022,25402,15263,8399
RS,2022,7802,2161,45
CZ,2022,15722,5473,417
PH,2022,6274,1490,34
CY,2022,2774,960,58
ET,2022,9225,5837,118
GE,2022,1297,258,10
BJ,2022,876,274,8
EC,2022,8788,1803,67
IE,2022,10005,5114,4795
UZ,2022,3906,479,12
UA,2022,29280,4428,92
TZ,2022,2588,936,59
KE,2022,5254,1783,73
PE,2022,9512,1732,48
ZA,2022,20725,10018,1886
VN,2022,12336,3168,136
LK,2022,3523,1090,66
NI,2022,423,37,1
BO,2022,980,185,13
SD,2022,1457,499,17
ME,2022,413,102,6
RO,2022,14423,6731,68
HR,2022,7109,2211,33
GA,2022,147,60,5
KZ,2022,6631,1591,29
MA,2022,9285,2237,75
AR,2022,14019,2088,131
LB,2022,2550,892,40
AE,2022,5880,2475,80
BD,2022,12094,4344,143
CL,2022,12888,3476,213
CM,2022,2821,847,31
SS,2022,643,125,52
CO,2022,16213,3676,1308
DZ,2022,7617,1360,42
UG,2022,1902,973,41
MW,2022,487,254,34
GL,2022,38,28,9
QA,2022,3004,1608,499
BY,2022,3208,592,19
SK,2022,5408,2102,58
GM,2022,132,85,12
NP,2022,5416,1114,23
CD,2022,723,231,4
GH,2022,5447,2153,79
CR,2022,2263,358,22
VE,2022,1266,187,14
TN,2022,6641,1862,88
PS,2022,1141,428,24
NC,2022,86,42,7
AL,2022,758,179,11
TJ,2022,2099,378,0
MM,2022,430,96,6
PR,2022,986,314,15
MK,2022,1147,161,26
NA,2022,308,126,14
BH,2022,664,208,11
MN,2022,1007,345,4
AZ,2022,1992,420,7
LA,2022,167,64,7
MZ,2022,1159,229,11
LT,2022,4176,1808,83
JO,2022,6163,2145,46
SY,2022,890,354,9
PA,2022,648,166,23
LV,2022,2284,770,23
IS,2022,855,359,43
CU,2022,1381,277,12
GT,2022,578,141,3
UY,2022,1762,345,25
ML,2022,355,90,6
LY,2022,731,214,10
MO,2022,2471,853,7
RW,2022,684,284,19
SO,2022,208,86,3
KH,2022,859,191,12
SX,2022,36,14,1
LI,2022,57,24,14
KG,2022,1070,82,1
KW,2022,1604,609,20
EE,2022,2042,813,70
SN,2022,837,224,15
BA,2022,1940,346,5
BW,2022,468,181,22
MC,2022,73,24,1
GP,2022,127,50,5
MT,2022,617,183,24
ZM,2022,819,263,13
LU,2022,1107,573,76
MD,2022,1017,196,7
MU,2022,223,44,5
GN,2022,104,23,1
YE,2022,1150,390,8
FJ,2022,281,112,1
PY,2022,886,126,9
KN,2022,110,49,0
MG,2022,214,77,6
GD,2022,161,43,0
CI,2022,907,189,17
NE,2022,221,60,2
BT,2022,181,52,1
ZW,2022,1122,349,33
SZ,2022,90,34,0
AW,2022,11,3,0
XK,2022,646,217,3
AG,2022,351,39,0
TT,2022,331,118,0
SV,2022,505,25,2
GF,2022,99,52,7
BF,2022,678,239,8
CG,2022,250,63,3
TG,2022,396,103,1
AF,2022,486,152,4
TD,2022,86,19,1
BN,2022,498,172,2
JM,2022,190,45,2
BS,2022,41,10,0
AO,2022,305,25,1
HN,2022,313,55,3
SR,2022,39,15,2
VI,2022,29,9,4
BI,2022,241,47,7
DO,2022,315,72,3
LC,2022,19,5,0
TL,2022,75,26,0
BB,2022,96,31,2
ST,2022,41,4,0
GU,2022,45,24,4
SM,2022,23,9,0
MQ,2022,64,25,1
ER,2022,57,25,1
SL,2022,146,52,4
VU,2022,13,4,0
RE,2022,186,76,13
GY,2022,124,22,0
FO,2022,52,29,0
LS,2022,72,34,0
CV,2022,65,22,2
KY,2022,19,7,3
GW,2022,58,13,4
