country_code,publication_year,n_articles,n_oa_articles,n_ta_articles
MV,2021,107,28,3
GP,2021,140,39,6
RW,2021,598,222,5
KN,2021,117,47,0
BF,2021,592,215,7
BH,2021,654,184,9
ER,2021,53,29,2
GF,2021,104,44,6
TT,2021,355,110,0
GT,2021,473,98,2
HT,2021,41,12,0
LS,2021,83,26,1
CV,2021,34,7,0
PF,2021,56,24,7
SR,2021,58,23,2
SL,2021,124,43,6
LI,2021,57,24,14
KP,2021,82,12,0
GA,2021,141,52,8
MR,2021,43,8,2
TD,2021,56,9,1
GI,2021,33,11,1
VG,2021,30,0,0
CF,2021,30,9,0
WS,2021,21,4,0
FJ,2021,224,79,2
FO,2021,36,16,0
CW,2021,57,14,3
BB,2021,98,22,1
TO,2021,8,2,0
ST,2021,50,4,0
GW,2021,45,14,6
DJ,2021,22,7,1
LC,2021,9,2,0
SJ,2021,10,7,2
GU,2021,60,19,1
AS,2021,4,0,0
MS,2021,13,1,0
SZ,2021,90,40,1
GY,2021,106,18,0
TM,2021,57,8,0
BZ,2021,19,7,0
TL,2021,44,11,0
BM,2021,10,4,1
SB,2021,3,1,0
MQ,2021,49,19,0
KI,2021,3,0,0
SX,2021,26,3,2
SC,2021,23,6,3
PW,2021,8,1,0
LR,2021,37,14,0
IM,2021,12,3,1
VI,2021,34,12,0
AW,2021,21,5,0
KY,2021,24,7,2
FK,2021,10,4,0
VA,2021,15,3,4
VC,2021,10,0,0
SM,2021,20,5,0
DM,2021,8,1,0
GQ,2021,2,2,0
MF,2021,5,0,0
TC,2021,2,1,0
NU,2021,2,0,1
FM,2021,3,0,0
TV,2021,1,0,0
IQ,2020,11736,3253,33
NA,2020,916666,97937,3
US,2020,499629,111713,4460
FR,2020,74690,16984,4933
ES,2020,80296,23996,1026
SA,2020,21714,7969,272
SG,2020,12874,3040,82
VN,2020,11102,2869,61
KR,2020,72382,26455,67
QA,2020,2927,1367,501
RO,2020,12062,3971,46
DK,2020,15698,5082,187
CA,2020,72671,17706,329
RU,2020,117975,15981,552
AU,2020,65523,15596,486
CN,2020,528896,147369,1924
NG,2020,21206,4403,59
SE,2020,23184,13939,4858
ID,2020,160209,35145,73
JP,2020,108445,30267,282
DE,2020,109458,49095,26964
GB,2020,126943,48134,22722
TW,2020,25275,10271,25
NO,2020,14304,7961,2627
IT,2020,81583,30856,11531
NL,2020,37162,21134,9541
BE,2020,19237,5653,304
AT,2020,14425,7490,1138
HU,2020,10748,4270,1804
IR,2020,61120,10175,119
MA,2020,7309,1567,37
PK,2020,23171,6216,87
CH,2020,25498,10221,5049
ZA,2020,19346,7082,130
IE,2020,10570,3365,1744
CO,2020,16097,2570,42
AZ,2020,1770,244,2
IN,2020,159913,18691,159
BW,2020,503,142,8
BR,2020,144469,20934,261
FI,2020,12322,5723,2149
BG,2020,3985,853,28
TR,2020,71348,7034,107
IL,2020,14937,3661,67
PL,2020,53092,19429,735
TH,2020,12778,4095,52
LV,2020,2004,425,7
CZ,2020,16245,4789,226
SN,2020,764,162,2
PH,2020,4098,804,12
CM,2020,2414,588,18
UY,2020,1618,234,5
PT,2020,19650,5588,97
MY,2020,26145,6338,100
AR,2020,15627,1732,41
UA,2020,34578,4036,34
HR,2020,6099,1242,10
MX,2020,27862,5748,60
SI,2020,4688,1604,46
LA,2020,92,46,1
GR,2020,13055,3760,58
PA,2020,692,161,9
EG,2020,31541,6435,126
CL,2020,13062,2912,65
JO,2020,4489,1245,22
UG,2020,1517,727,18
YE,2020,900,273,2
LB,2020,2908,759,33
ET,2020,7372,3847,39
PE,2020,6533,704,11
NA,2020,297,85,3
KW,2020,1551,465,8
SS,2020,564,79,39
TG,2020,273,66,2
RS,2020,7014,1239,15
ZM,2020,646,192,6
MO,2020,1610,367,6
LK,2020,2847,726,12
BD,2020,10191,2131,37
SD,2020,1169,343,4
AE,2020,4747,1333,19
HK,2020,10132,2099,46
EE,2020,1923,567,30
UZ,2020,3057,392,6
GM,2020,136,71,5
MW,2020,410,186,8
JE,2020,4,2,3
BF,2020,516,157,5
RE,2020,162,63,9
IS,2020,824,242,18
PR,2020,968,253,4
GH,2020,4032,1307,58
EC,2020,5870,1027,17
CU,2020,1180,183,2
KE,2020,4181,1509,35
MR,2020,39,16,2
NP,2020,5051,862,10
ZW,2020,901,251,9
NZ,2020,9799,2198,61
OM,2020,1548,329,12
TN,2020,6115,1107,37
LU,2020,938,399,21
DZ,2020,6903,826,34
BY,2020,2916,351,13
BO,2020,680,93,9
TJ,2020,1582,213,5
MD,2020,496,141,2
AG,2020,165,17,0
BA,2020,1531,259,0
KZ,2020,4504,690,10
CI,2020,775,140,4
SK,2020,6036,1733,31
MK,2020,963,134,7
GE,2020,767,92,1
NE,2020,166,45,0
SV,2020,334,9,0
SB,2020,3,0,0
KG,2020,595,69,3
RW,2020,582,166,11
BH,2020,571,139,2
CY,2020,2405,582,14
GT,2020,459,107,0
LT,2020,3902,1148,22
CR,2020,2339,264,16
TZ,2020,1688,685,26
HN,2020,237,24,0
SZ,2020,94,20,0
GW,2020,38,10,0
XK,2020,423,75,2
ME,2020,477,125,1
SY,2020,611,188,2
AM,2020,997,181,7
GD,2020,152,41,2
MG,2020,222,75,2
MM,2020,531,146,3
DJ,2020,24,8,0
VE,2020,1410,158,1
MZ,2020,852,174,4
KN,2020,102,40,0
CD,2020,470,132,2
PS,2020,902,249,5
SO,2020,80,25,1
MN,2020,697,170,5
BJ,2020,738,189,6
LI,2020,70,15,14
BT,2020,102,34,1
LY,2020,677,192,9
ML,2020,269,70,0
NI,2020,458,28,0
KH,2020,613,151,5
PY,2020,749,49,2
BS,2020,46,4,1
DO,2020,323,51,0
AL,2020,542,92,2
BN,2020,355,109,3
FJ,2020,197,55,0
GP,2020,100,34,2
MT,2020,575,142,10
AF,2020,355,89,0
KP,2020,76,10,0
MU,2020,192,41,2
LS,2020,66,16,0
MV,2020,121,25,4
JM,2020,186,49,0
GY,2020,57,8,0
NC,2020,95,38,6
GN,2020,82,25,0
BI,2020,246,30,5
TT,2020,308,77,0
SR,2020,39,12,1
CG,2020,203,48,3
ER,2020,63,32,0
PF,2020,69,23,7
MQ,2020,66,17,0
PG,2020,81,21,1
CW,2020,43,5,1
TL,2020,17,6,0
SL,2020,102,40,3
PW,2020,7,2,0
BB,2020,82,26,0
GF,2020,100,43,10
AO,2020,277,20,0
MC,2020,73,22,1
GA,2020,106,39,4
VU,2020,11,3,0
TM,2020,57,2,0
IM,2020,4,1,0
ST,2020,60,5,0
BZ,2020,15,4,0
CV,2020,28,9,1
KY,2020,18,0,2
GU,2020,66,27,0
WS,2020,26,6,0
FO,2020,24,10,1
VG,2020,19,0,0
AW,2020,19,7,0
VA,2020,14,3,0
TD,2020,39,9,1
MS,2020,5,1,0
KI,2020,6,0,0
GQ,2020,1,1,0
LC,2020,11,3,0
DM,2020,8,1,0
GI,2020,33,4,0
HT,2020,27,8,0
CF,2020,31,10,1
LR,2020,23,7,1
SC,2020,29,5,0
TV,2020,1,1,0
GL,2020,35,16,1
NU,2020,2,0,0
AD,2020,8,1,0
SJ,2020,8,7,0
TC,2020,2,1,0
VI,2020,12,2,0
MP,2020,3,1,0
BM,2020,11,4,1
SX,2020,18,2,0
FK,2020,8,0,1
SM,2020,18,4,1
FM,2020,2,1,0
MF,2020,4,0,0
VC,2020,6,0,0
AS,2020,3,1,0
TO,2020,3,1,0
NA,2019,876322,90238,0
GB,2019,117233,37140,5442
PK,2019,17054,4160,27
ES,2019,69749,17156,77
CN,2019,463654,117855,352
IT,2019,67295,19433,215
US,2019,456605,88404,418
RU,2019,101347,11887,70
MX,2019,25209,4698,18
BR,2019,117309,18955,58
SE,2019,21919,9586,48
TW,2019,22901,8055,9
DE,2019,102137,30489,10444
ZA,2019,17186,5863,23
DK,2019,14924,4026,45
CZ,2019,15209,3572,119
PL,2019,49162,12958,32
FR,2019,69922,13134,2266
HU,2019,9126,2912,493
AU,2019,62020,13064,100
NO,2019,13140,5347,19
IN,2019,129230,13054,41
BE,2019,17442,4179,73
TR,2019,58547,5900,20
NG,2019,16084,3166,13
JP,2019,100926,22979,40
EG,2019,26274,4332,42
NL,2019,35115,16503,2135
KZ,2019,3114,429,6
QA,2019,2149,739,4
SA,2019,15602,4739,32
TH,2019,11032,2856,10
NZ,2019,8936,1815,13
ID,2019,123349,26265,20
FI,2019,11566,4184,16
MU,2019,155,24,0
KR,2019,66606,20716,25
RO,2019,10575,3384,20
PE,2019,5628,497,1
JM,2019,179,25,0
GR,2019,11396,2599,16
PT,2019,17710,3852,25
AT,2019,12921,5644,178
UA,2019,29006,3595,11
SD,2019,958,222,3
HK,2019,8796,1520,13
BA,2019,1370,184,1
ZW,2019,780,252,0
IL,2019,13177,2494,18
SI,2019,3864,1006,6
CL,2019,11359,2310,21
SK,2019,5367,1237,14
AE,2019,3682,815,2
AR,2019,13005,1400,12
CO,2019,14226,1928,8
CH,2019,23382,6943,112
CY,2019,1967,440,2
MW,2019,329,141,0
KE,2019,3390,1275,9
IR,2019,54734,7142,20
RS,2019,6940,1094,3
GD,2019,116,33,0
IE,2019,9583,1907,15
MZ,2019,647,115,0
BT,2019,95,27,0
CA,2019,66656,14028,78
ET,2019,5148,2289,6
GP,2019,84,25,2
KW,2019,1229,297,1
IQ,2019,9530,2901,19
SN,2019,619,139,6
UG,2019,1185,506,3
MY,2019,22998,4301,42
EC,2019,4730,605,1
TN,2019,5450,774,24
RW,2019,361,108,0
VN,2019,7893,1705,14
SG,2019,11316,2379,9
GW,2019,45,12,0
GH,2019,3076,931,4
LY,2019,511,98,2
DZ,2019,6012,565,11
TZ,2019,1334,448,1
PH,2019,3267,582,1
BG,2019,3913,684,12
BD,2019,7168,1187,4
EE,2019,1765,388,1
CM,2019,1791,479,2
HR,2019,5374,816,2
UY,2019,1350,216,2
LT,2019,3554,893,4
MA,2019,5363,922,13
MO,2019,1222,284,2
JO,2019,3610,826,1
LK,2019,2169,545,7
BO,2019,690,120,2
TJ,2019,1418,242,1
BY,2019,2641,313,1
AM,2019,983,144,1
AZ,2019,1341,219,3
ME,2019,428,87,0
CU,2019,1101,137,3
LV,2019,1835,264,1
LU,2019,849,250,8
BW,2019,421,109,2
GE,2019,657,83,0
LB,2019,2395,602,12
IS,2019,792,200,7
OM,2019,1180,217,0
CG,2019,185,25,0
NP,2019,3393,485,2
ST,2019,44,4,0
UZ,2019,1383,207,0
YE,2019,648,123,0
BI,2019,186,24,0
MD,2019,441,147,1
PF,2019,85,26,4
PA,2019,426,104,4
VE,2019,1156,120,1
GF,2019,78,30,3
MG,2019,169,46,1
NE,2019,172,37,2
MV,2019,69,12,0
KH,2019,403,85,0
SX,2019,7,1,0
CI,2019,736,132,3
BJ,2019,638,133,4
ZM,2019,460,121,0
PY,2019,605,64,0
CR,2019,1808,170,0
MM,2019,407,87,1
DO,2019,278,37,0
YT,2019,3,0,0
TT,2019,283,62,1
PS,2019,718,184,0
XK,2019,407,67,0
GA,2019,107,39,1
AL,2019,433,81,0
MS,2019,11,1,0
MN,2019,547,137,0
BF,2019,430,112,1
MK,2019,810,89,0
BM,2019,9,3,1
CF,2019,34,9,0
ML,2019,209,41,1
SY,2019,427,107,0
ER,2019,59,22,0
PR,2019,889,176,0
SS,2019,487,49,4
TG,2019,209,43,0
FO,2019,36,16,0
MR,2019,31,9,1
TM,2019,46,2,0
MT,2019,460,86,2
FJ,2019,184,49,0
AF,2019,202,29,0
KN,2019,100,32,0
NI,2019,409,23,0
AO,2019,115,15,0
SV,2019,275,15,0
LS,2019,46,15,0
CD,2019,346,77,1
VG,2019,42,1,0
GY,2019,95,8,0
GI,2019,34,3,0
GM,2019,68,41,0
BN,2019,245,51,0
KG,2019,395,70,0
SR,2019,22,5,0
RE,2019,145,42,9
SL,2019,70,25,0
PG,2019,72,17,0
NA,2019,238,51,0
GT,2019,315,59,0
NC,2019,63,19,1
SO,2019,44,15,0
LI,2019,65,7,0
BH,2019,438,108,0
LA,2019,85,29,0
MC,2019,81,24,0
HN,2019,323,20,0
SM,2019,20,4,0
BS,2019,30,5,0
BZ,2019,20,0,0
AG,2019,109,11,0
MQ,2019,64,19,0
BB,2019,68,16,1
KP,2019,52,9,2
HT,2019,30,2,0
GL,2019,29,11,0
GU,2019,42,17,0
SZ,2019,79,30,0
LR,2019,22,7,0
VA,2019,8,0,0
AX,2019,1,0,0
GN,2019,94,14,0
FK,2019,13,3,1
CV,2019,23,9,0
IM,2019,8,3,0
TL,2019,15,4,0
DM,2019,3,1,0
JE,2019,10,4,1
SC,2019,13,3,0
VU,2019,17,2,0
VI,2019,15,2,0
PW,2019,8,4,0
WS,2019,15,1,0
VC,2019,4,2,0
AW,2019,10,1,0
CW,2019,26,6,0
TD,2019,33,6,0
TO,2019,5,2,0
MF,2019,2,0,0
AD,2019,8,1,0
LC,2019,9,2,0
DJ,2019,11,4,0
SB,2019,2,0,0
FM,2019,2,0,0
KY,2019,11,2,0
GQ,2019,1,0,0
NU,2019,2,0,0
AS,2019,2,1,0
MP,2019,2,0,0
SJ,2019,4,2,0
TC,2019,2,1,0
KI,2019,1,1,0
NA,2018,825006,94711,2
KR,2018,63906,16820,0
MX,2018,23539,4158,0
CN,2018,395683,89672,28
US,2018,443537,80395,48
SE,2018,21396,8160,3
TH,2018,10636,2308,0
JP,2018,103247,21007,0
BR,2018,106209,17250,6
RU,2018,81309,7560,3
BE,2018,17391,3934,13
ZA,2018,16295,5235,3
FR,2018,71306,11556,5
IN,2018,120811,12506,0
DE,2018,100028,22997,40
AU,2018,59754,11444,5
TR,2018,50019,6622,6
GB,2018,115692,35496,14
PL,2018,51365,10892,1
CZ,2018,14365,2794,85
ET,2018,3682,1569,3
HK,2018,8198,1356,1
ID,2018,87822,21248,9
MY,2018,23038,3748,3
ES,2018,67083,13472,3
SA,2018,13263,3406,1
TN,2018,6294,722,1
JO,2018,3071,581,0
KE,2018,2996,1140,4
AT,2018,12612,4835,2
CA,2018,65570,12931,4
MG,2018,170,68,0
PT,2018,16515,3195,2
NL,2018,33966,14270,1991
IR,2018,49130,6023,5
HU,2018,8168,1673,1
FI,2018,11124,3086,1
CH,2018,22772,5950,5
SK,2018,5142,1077,1
SN,2018,565,124,0
TW,2018,22155,6401,2
RS,2018,6456,1047,0
IL,2018,12831,2131,1
IQ,2018,7084,2197,0
NP,2018,3003,438,0
NO,2018,12553,3726,2
IT,2018,63933,15448,14
CO,2018,13245,1375,1
SG,2018,11168,2127,0
DK,2018,14816,3707,2
GH,2018,2644,764,4
EG,2018,22373,3449,0
VA,2018,23,0,0
CL,2018,10900,1776,1
DZ,2018,6010,569,0
NZ,2018,8645,1550,0
UA,2018,20152,3226,1
BH,2018,402,73,0
MA,2018,4983,834,0
AR,2018,12829,1516,0
IE,2018,8808,1614,1
KW,2018,1132,234,0
BA,2018,1304,221,0
EC,2018,4161,500,0
QA,2018,1757,446,0
LK,2018,2148,538,0
ZM,2018,444,145,0
BD,2018,6540,1042,1
LY,2018,402,117,0
RO,2018,8489,1880,1
PK,2018,14028,3037,1
PE,2018,3819,482,1
LB,2018,2188,505,1
TT,2018,265,74,0
NG,2018,13779,2754,1
SI,2018,3689,714,0
GA,2018,103,33,0
VN,2018,5513,978,0
AE,2018,3013,555,1
MT,2018,537,91,0
CM,2018,1668,428,0
EE,2018,1541,289,0
HR,2018,5207,715,0
CR,2018,1521,169,0
LR,2018,32,9,0
UZ,2018,797,92,0
AZ,2018,1161,137,0
GT,2018,315,58,0
BG,2018,3305,491,0
GR,2018,10948,2092,0
LV,2018,1561,215,0
UY,2018,1320,186,0
KN,2018,79,19,0
CU,2018,1008,149,0
BJ,2018,585,122,0
BY,2018,1904,344,0
GU,2018,49,17,0
LU,2018,839,194,1
LA,2018,106,29,0
XK,2018,422,61,0
OM,2018,1049,172,1
LT,2018,3446,643,0
PG,2018,57,14,0
SY,2018,369,82,0
SD,2018,822,214,0
VE,2018,1105,106,0
BO,2018,562,75,0
UG,2018,1093,458,0
AM,2018,916,144,0
IS,2018,778,172,0
RW,2018,301,94,0
MO,2018,1120,236,0
SS,2018,380,48,0
NI,2018,347,12,0
KZ,2018,2330,336,0
PH,2018,2593,475,0
KH,2018,401,92,0
ZW,2018,680,196,1
MK,2018,778,98,1
PS,2018,603,144,0
RE,2018,128,37,0
CY,2018,1810,340,0
CI,2018,749,127,0
MN,2018,555,176,0
BI,2018,172,22,0
TZ,2018,1141,409,0
TJ,2018,934,102,1
GE,2018,592,82,0
PR,2018,837,177,0
HN,2018,185,17,0
AL,2018,449,74,0
NA,2018,175,34,0
DO,2018,224,39,0
GD,2018,132,19,0
KG,2018,247,37,0
JM,2018,178,36,0
CD,2018,284,87,0
KP,2018,56,7,0
SC,2018,12,2,0
PY,2018,534,39,0
PA,2018,414,90,0
LC,2018,16,0,0
MZ,2018,506,125,0
FJ,2018,188,38,0
MD,2018,338,129,0
YE,2018,565,103,0
MQ,2018,56,9,0
MW,2018,350,148,0
BN,2018,273,60,0
CW,2018,37,3,0
BF,2018,437,140,0
KY,2018,19,2,0
TM,2018,35,5,0
MM,2018,353,87,0
ME,2018,421,84,0
AO,2018,81,8,0
MU,2018,213,29,0
SV,2018,197,11,0
NE,2018,152,31,0
MR,2018,30,11,0
MP,2018,4,1,0
ER,2018,52,17,0
GY,2018,65,6,0
VG,2018,85,2,0
MC,2018,69,14,0
GW,2018,40,10,1
SZ,2018,39,13,0
FO,2018,33,12,0
GM,2018,69,42,0
ML,2018,209,51,0
AW,2018,14,3,0
BW,2018,445,117,0
GP,2018,75,19,0
GF,2018,92,33,0
AF,2018,118,31,0
BT,2018,65,19,0
BB,2018,70,10,0
NC,2018,84,30,0
IM,2018,16,3,0
SL,2018,53,17,0
PW,2018,12,1,0
AG,2018,85,8,0
BZ,2018,14,5,0
ST,2018,34,4,0
TG,2018,200,43,0
HT,2018,23,7,0
DJ,2018,11,1,0
BM,2018,9,4,0
MV,2018,67,11,0
MS,2018,21,1,0
PF,2018,57,13,0
VI,2018,16,2,0
CG,2018,113,11,0
LI,2018,58,6,0
TL,2018,15,1,0
GN,2018,50,9,0
BS,2018,37,5,0
SM,2018,10,2,0
GI,2018,26,1,0
SO,2018,41,5,0
TD,2018,27,8,0
CV,2018,23,4,0
GL,2018,41,17,0
LS,2018,44,11,0
CF,2018,29,8,0
DM,2018,15,3,0
SJ,2018,9,1,0
SR,2018,26,5,0
VC,2018,5,1,0
VU,2018,9,1,0
FK,2018,13,0,0
WS,2018,8,0,0
AD,2018,2,0,0
JE,2018,4,1,0
TO,2018,3,1,0
AS,2018,3,0,0
SX,2018,8,1,0
BQ,2018,1,0,0
MF,2018,3,0,0
AX,2018,2,0,0
FM,2018,2,0,0
KI,2018,1,0,0
TC,2018,1,1,0
