cr_publisher,country_code,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Elsevier BV,UG,2025,Full OA,109,99,2
Elsevier BV,SN,2025,Hybrid,57,11,2
Elsevier BV,HR,2025,Full OA,56,46,1
Elsevier BV,SS,2025,Full OA,30,29,0
Elsevier BV,SD,2025,Full OA,60,54,6
Elsevier BV,TN,2025,Full OA,149,136,9
Elsevier BV,MK,2025,Full OA,22,19,1
Elsevier BV,DO,2025,Full OA,10,10,2
Elsevier BV,TZ,2025,Full OA,137,106,5
Elsevier BV,SL,2025,Hybrid,5,2,0
Elsevier BV,DZ,2025,Full OA,124,92,3
Elsevier BV,WS,2025,Hybrid,4,0,0
Elsevier BV,GP,2025,Hybrid,29,8,8
Elsevier BV,LU,2025,Full OA,31,26,1
Elsevier BV,UY,2025,Hybrid,182,17,4
Elsevier BV,HK,2025,Hybrid,2679,425,22
Elsevier BV,JM,2025,Full OA,7,7,0
Elsevier BV,FJ,2025,Full OA,11,11,0
Elsevier BV,CG,2025,Full OA,7,5,0
Elsevier BV,CU,2025,Hybrid,55,5,1
Elsevier BV,HN,2025,Full OA,5,5,0
Elsevier BV,BA,2025,Full OA,16,12,0
Elsevier BV,ME,2025,Full OA,20,17,1
Elsevier BV,UZ,2025,Hybrid,152,15,2
Elsevier BV,GT,2025,Full OA,6,5,0
Elsevier BV,AD,2025,Hybrid,3,0,0
Elsevier BV,KN,2025,Full OA,18,17,0
Elsevier BV,NZ,2025,Full OA,175,153,7
Elsevier BV,IS,2025,Full OA,19,18,0
Elsevier BV,PR,2025,Hybrid,85,31,5
Elsevier BV,OM,2025,Hybrid,170,13,3
Elsevier BV,MU,2025,Hybrid,8,2,0
Elsevier BV,NC,2025,Full OA,3,3,3
Elsevier BV,ML,2025,Full OA,7,4,0
Elsevier BV,KN,2025,Hybrid,64,4,0
Elsevier BV,BH,2025,Hybrid,31,3,0
Elsevier BV,ML,2025,Hybrid,19,3,1
