country_code,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
VI,2024,Full OA,3,3,0
CF,2024,Hybrid,26,2,0
ER,2024,Full OA,18,14,0
ER,2024,Hybrid,17,4,0
LC,2024,Full OA,3,2,0
VA,2024,Full OA,10,3,0
MR,2024,Full OA,20,17,0
BZ,2024,Hybrid,16,1,1
FK,2024,Hybrid,3,1,0
PF,2024,Hybrid,31,7,5
VU,2024,Full OA,5,3,0
LR,2024,Hybrid,33,8,0
BS,2024,Full OA,11,5,0
DM,2024,Hybrid,3,0,0
SB,2024,Hybrid,2,1,1
PW,2024,Hybrid,7,1,0
GW,2024,Full OA,14,7,0
MC,2024,Hybrid,36,7,1
SM,2024,Hybrid,11,3,2
SC,2024,Full OA,9,6,1
BZ,2024,Full OA,1,0,0
MF,2024,Hybrid,2,1,0
SM,2024,Full OA,8,6,0
MS,2024,Hybrid,4,2,0
TO,2024,Full OA,1,1,0
VA,2024,Hybrid,10,1,0
BM,2024,Hybrid,8,4,1
VU,2024,Hybrid,7,0,0
IM,2024,Hybrid,3,2,0
VG,2024,Hybrid,11,2,0
GI,2024,Full OA,3,2,0
SX,2024,Full OA,2,1,0
BM,2024,Full OA,5,3,0
KY,2024,Full OA,5,5,0
AX,2024,Full OA,1,1,0
DM,2024,Full OA,1,1,0
NU,2024,Full OA,3,0,0
AS,2024,Full OA,2,1,0
SJ,2024,Hybrid,4,1,1
MS,2024,Full OA,1,0,0
TC,2024,Full OA,1,1,0
FM,2024,Hybrid,1,0,0
IN,2023,Hybrid,163632,15776,269
NZ,2023,Hybrid,6522,2720,2178
TW,2023,Hybrid,14745,1561,63
AU,2023,Hybrid,40870,19107,16350
KE,2023,Hybrid,4359,1041,62
IL,2023,Hybrid,9836,2418,1312
LY,2023,Hybrid,584,136,7
NG,2023,Hybrid,17512,3404,115
GB,2023,Hybrid,80760,41202,33534
CA,2023,Hybrid,47621,10817,5328
CN,2023,Hybrid,496270,42098,1532
DE,2023,Hybrid,68966,29830,21717
ID,2023,Hybrid,293342,61506,153
ES,2023,Hybrid,43296,15971,11710
AO,2023,Hybrid,191,24,3
NA,2023,Hybrid,896441,105581,4
TR,2023,Hybrid,67937,9911,944
US,2023,Hybrid,336222,57251,10588
KR,2023,Hybrid,42422,5766,647
BR,2023,Hybrid,76018,7445,295
TZ,2023,Hybrid,1963,322,31
MA,2023,Full OA,2800,1908,8
SA,2023,Full OA,14258,12745,54
US,2023,Full OA,125559,98917,3425
RU,2023,Full OA,33267,12244,30
CN,2023,Full OA,248323,221258,481
PL,2023,Full OA,27490,15501,175
BR,2023,Full OA,53919,17304,71
FR,2023,Full OA,19506,13445,1720
IN,2023,Full OA,39805,22576,63
JP,2023,Full OA,30716,26525,1341
VN,2023,Full OA,3785,2574,17
AL,2023,Full OA,279,132,1
DE,2023,Full OA,34863,29008,7857
CA,2023,Full OA,21238,16781,689
CH,2023,Hybrid,15620,8181,6465
FR,2023,Hybrid,48488,8016,2983
HU,2023,Hybrid,7834,2771,1220
NL,2023,Hybrid,25041,15145,12839
HK,2023,Hybrid,9213,1477,197
CO,2023,Hybrid,8236,1415,592
IT,2023,Hybrid,44729,18366,13468
PT,2023,Hybrid,12372,4243,3336
PL,2023,Hybrid,25395,6305,3266
LU,2023,Hybrid,763,301,54
CZ,2023,Hybrid,10183,2919,1534
TH,2023,Hybrid,9761,1552,81
BD,2023,Hybrid,8556,1223,113
IR,2023,Hybrid,37959,5327,114
LV,2023,Hybrid,1498,275,21
PA,2023,Hybrid,915,143,16
HU,2023,Full OA,5483,3332,853
CZ,2023,Full OA,5624,3681,168
ES,2023,Full OA,35907,21127,1219
KR,2023,Full OA,29775,25529,119
CL,2023,Full OA,6714,3025,20
NA,2023,Full OA,157499,53030,1
GB,2023,Full OA,33130,26093,4988
ID,2023,Full OA,57216,25919,41
GH,2023,Hybrid,3159,488,30
DK,2023,Hybrid,10430,4790,3624
PT,2023,Full OA,10129,7074,124
DK,2023,Full OA,5274,4199,147
MX,2023,Hybrid,19497,3101,84
SA,2023,Hybrid,15987,2478,299
BE,2023,Hybrid,12691,2293,412
SE,2023,Hybrid,14069,9874,8476
RU,2023,Hybrid,84862,10964,186
MY,2023,Hybrid,24384,3337,139
KP,2023,Hybrid,89,5,2
PE,2023,Hybrid,5902,904,16
UA,2023,Hybrid,22065,3112,79
GR,2023,Hybrid,8145,1788,1031
SI,2023,Hybrid,2402,1012,732
FI,2023,Hybrid,8398,5302,4558
ET,2023,Hybrid,3604,685,56
BY,2023,Hybrid,2194,350,26
MQ,2023,Hybrid,35,8,3
ZA,2023,Hybrid,10399,3863,2475
JP,2023,Hybrid,66566,9366,2041
NO,2023,Hybrid,9015,5328,4381
IE,2023,Hybrid,7668,3194,2732
AR,2023,Hybrid,7814,921,55
NE,2023,Full OA,61,38,0
BE,2023,Full OA,6135,4758,82
IR,2023,Full OA,18762,13084,39
RO,2023,Full OA,8153,5671,10
PK,2023,Full OA,11045,8163,16
AU,2023,Full OA,16733,14031,1510
IT,2023,Full OA,37327,30949,1097
BG,2023,Full OA,2367,1388,16
EE,2023,Hybrid,1225,287,58
SG,2023,Hybrid,8178,1315,187
TR,2023,Full OA,21397,6995,426
CH,2023,Full OA,9165,7138,1058
ZA,2023,Full OA,9484,7336,373
LB,2023,Hybrid,1782,236,31
AT,2023,Hybrid,9638,5315,4400
JO,2023,Hybrid,4252,507,26
CM,2023,Hybrid,2210,285,19
LK,2023,Hybrid,2081,458,68
UA,2023,Full OA,10552,2140,14
NL,2023,Full OA,11696,9672,2037
IL,2023,Full OA,4718,3957,47
SI,2023,Full OA,2416,1502,32
RS,2023,Full OA,4069,1902,5
EG,2023,Full OA,15676,8897,37
RW,2023,Full OA,340,251,6
GR,2023,Full OA,6938,5879,121
MY,2023,Full OA,8528,6041,24
LK,2023,Full OA,1185,590,11
EG,2023,Hybrid,20526,3708,184
NP,2023,Hybrid,4608,484,18
PK,2023,Hybrid,20918,2825,79
PH,2023,Full OA,1583,847,11
TW,2023,Full OA,10895,9679,27
HK,2023,Full OA,3304,2747,28
NO,2023,Full OA,5740,4258,396
KG,2023,Full OA,152,40,0
YE,2023,Full OA,458,290,4
AE,2023,Hybrid,4171,671,49
VN,2023,Hybrid,9749,1106,104
TJ,2023,Hybrid,1980,401,1
PH,2023,Hybrid,6301,942,39
KW,2023,Hybrid,1101,174,16
SK,2023,Full OA,2678,1729,95
OM,2023,Full OA,640,393,3
LV,2023,Full OA,1026,714,2
FI,2023,Full OA,4207,3040,491
RO,2023,Hybrid,6334,945,51
EC,2023,Hybrid,8066,2144,51
KE,2023,Full OA,1469,1132,20
MX,2023,Full OA,12937,6222,18
GH,2023,Full OA,2492,1925,15
TZ,2023,Full OA,1064,780,13
LB,2023,Full OA,1001,812,9
IE,2023,Full OA,2934,2406,718
CO,2023,Full OA,8822,2625,17
NZ,2023,Full OA,2434,1889,189
IQ,2023,Full OA,8606,4169,29
AT,2023,Full OA,4941,4040,699
VE,2023,Full OA,583,93,2
HR,2023,Full OA,4025,1975,3
NG,2023,Full OA,6323,3361,32
TH,2023,Full OA,7106,6001,18
PE,2023,Full OA,4349,1172,6
EC,2023,Full OA,3024,1031,8
DZ,2023,Hybrid,5827,712,11
IQ,2023,Hybrid,13309,2322,38
CL,2023,Hybrid,7160,790,107
MK,2023,Hybrid,824,96,31
BJ,2023,Full OA,291,199,4
SG,2023,Full OA,3267,2517,31
KZ,2023,Full OA,2093,1111,6
IS,2023,Full OA,413,272,6
SE,2023,Full OA,8249,6694,3418
RS,2023,Hybrid,3571,431,21
SD,2023,Full OA,484,363,8
ET,2023,Full OA,5534,4860,39
KP,2023,Full OA,22,13,0
AZ,2023,Full OA,501,219,0
TN,2023,Full OA,1825,1465,8
SY,2023,Hybrid,554,136,5
MR,2023,Hybrid,47,11,1
PR,2023,Hybrid,704,129,7
LT,2023,Hybrid,1664,333,98
CD,2023,Hybrid,544,77,5
CU,2023,Hybrid,1163,112,8
LC,2023,Hybrid,18,0,0
BN,2023,Hybrid,414,53,1
KH,2023,Hybrid,775,148,15
PY,2023,Full OA,462,49,0
BD,2023,Full OA,4269,3280,33
CD,2023,Full OA,297,180,2
LT,2023,Full OA,2422,1511,16
MW,2023,Hybrid,254,44,8
NP,2023,Full OA,1725,771,6
TG,2023,Hybrid,308,46,1
GW,2023,Hybrid,45,12,3
UZ,2023,Hybrid,4341,874,14
KG,2023,Hybrid,412,89,2
SN,2023,Full OA,220,141,2
JO,2023,Full OA,2389,1915,8
UZ,2023,Full OA,2134,170,3
FJ,2023,Full OA,83,64,0
PA,2023,Full OA,309,99,5
AR,2023,Full OA,6879,1556,17
UY,2023,Hybrid,1222,162,12
AE,2023,Full OA,2429,2037,8
HR,2023,Hybrid,3188,322,21
OM,2023,Hybrid,1144,154,8
SK,2023,Hybrid,3333,651,284
KZ,2023,Hybrid,5526,1166,24
BO,2023,Hybrid,698,120,7
ZW,2023,Hybrid,669,126,11
CR,2023,Full OA,1231,171,2
AZ,2023,Hybrid,1949,398,13
TN,2023,Hybrid,4973,403,29
LU,2023,Full OA,367,305,13
BG,2023,Hybrid,3119,414,31
HN,2023,Hybrid,254,59,2
CM,2023,Full OA,893,664,11
AG,2023,Full OA,150,37,1
KN,2023,Hybrid,115,14,3
GL,2023,Full OA,26,24,0
AF,2023,Full OA,155,108,2
MS,2023,Hybrid,20,6,0
EE,2023,Full OA,867,559,5
CY,2023,Full OA,994,716,6
AM,2023,Full OA,364,129,2
LY,2023,Full OA,208,98,2
QA,2023,Hybrid,1714,627,32
UG,2023,Full OA,1097,912,11
ML,2023,Full OA,69,50,1
MN,2023,Hybrid,780,200,7
BN,2023,Full OA,197,128,0
SL,2023,Hybrid,102,20,1
SV,2023,Full OA,190,17,0
JM,2023,Hybrid,151,12,2
ZW,2023,Full OA,442,280,7
BW,2023,Full OA,203,155,8
PS,2023,Hybrid,854,113,10
MO,2023,Hybrid,1970,244,7
UG,2023,Hybrid,1274,247,23
MZ,2023,Hybrid,965,117,13
MO,2023,Full OA,805,693,0
DZ,2023,Full OA,2377,999,5
GA,2023,Full OA,64,54,4
YE,2023,Hybrid,1040,136,4
AM,2023,Hybrid,1653,328,4
GE,2023,Hybrid,1311,214,13
MT,2023,Hybrid,407,54,9
GD,2023,Hybrid,179,10,1
BH,2023,Hybrid,512,74,9
DO,2023,Full OA,154,45,0
BY,2023,Full OA,700,101,4
DJ,2023,Full OA,28,15,0
SD,2023,Hybrid,964,175,6
MD,2023,Hybrid,609,141,4
TT,2023,Hybrid,232,27,3
ME,2023,Hybrid,273,31,3
MA,2023,Hybrid,7941,828,29
SN,2023,Hybrid,758,75,3
UY,2023,Full OA,775,274,4
MW,2023,Full OA,282,220,11
RW,2023,Hybrid,428,84,10
SS,2023,Full OA,118,22,8
CI,2023,Hybrid,813,85,6
ML,2023,Hybrid,378,40,1
BH,2023,Full OA,233,163,2
KN,2023,Full OA,47,41,0
PF,2023,Hybrid,41,5,1
VE,2023,Hybrid,915,160,7
CR,2023,Hybrid,1531,286,14
CY,2023,Hybrid,1856,359,37
BT,2023,Full OA,53,30,0
SS,2023,Hybrid,412,109,44
ZM,2023,Hybrid,641,90,8
MD,2023,Full OA,671,87,0
ME,2023,Full OA,163,80,1
MG,2023,Hybrid,206,30,3
SY,2023,Full OA,387,280,2
SO,2023,Full OA,121,81,0
QA,2023,Full OA,1312,1074,19
BO,2023,Full OA,359,72,2
IS,2023,Hybrid,540,126,17
GT,2023,Hybrid,484,151,1
BA,2023,Full OA,791,239,1
XK,2023,Hybrid,370,81,2
AF,2023,Hybrid,503,66,0
ZM,2023,Full OA,321,236,3
AL,2023,Hybrid,746,145,5
MM,2023,Hybrid,315,59,8
BA,2023,Hybrid,1041,135,1
TJ,2023,Full OA,473,48,1
AG,2023,Hybrid,347,33,5
MN,2023,Full OA,281,152,2
HN,2023,Full OA,135,31,0
PR,2023,Full OA,386,239,2
NE,2023,Hybrid,149,28,1
TC,2023,Hybrid,33,2,0
NA,2023,Hybrid,397,71,16
CG,2023,Full OA,65,49,1
CV,2023,Full OA,12,8,0
LI,2023,Full OA,21,18,3
ST,2023,Hybrid,64,5,1
MK,2023,Full OA,378,126,1
GT,2023,Full OA,186,40,0
MG,2023,Full OA,81,60,3
CI,2023,Full OA,224,142,6
PS,2023,Full OA,500,372,4
NA,2023,Full OA,139,107,5
GN,2023,Hybrid,155,8,0
SL,2023,Full OA,60,47,0
GF,2023,Full OA,56,49,4
SM,2023,Hybrid,16,2,0
RE,2023,Full OA,76,52,11
TL,2023,Hybrid,74,25,0
BF,2023,Hybrid,628,54,1
KW,2023,Full OA,583,464,3
BF,2023,Full OA,248,191,0
GY,2023,Hybrid,159,8,1
MV,2023,Hybrid,82,10,6
FO,2023,Full OA,19,15,0
GE,2023,Full OA,271,125,3
PY,2023,Hybrid,654,77,3
SZ,2023,Hybrid,63,16,2
PG,2023,Hybrid,61,16,4
NI,2023,Full OA,192,14,0
MT,2023,Full OA,201,149,3
NI,2023,Hybrid,298,23,1
TG,2023,Full OA,103,81,1
TM,2023,Hybrid,68,8,0
SV,2023,Hybrid,231,13,1
MU,2023,Full OA,55,36,0
TD,2023,Full OA,17,12,0
DO,2023,Hybrid,242,54,6
PG,2023,Full OA,38,24,1
XK,2023,Full OA,278,156,0
LI,2023,Hybrid,47,16,13
MZ,2023,Full OA,270,132,4
SO,2023,Hybrid,239,32,0
HT,2023,Hybrid,29,6,0
GU,2023,Hybrid,40,7,2
FJ,2023,Hybrid,146,30,1
BI,2023,Full OA,87,36,2
KH,2023,Full OA,362,132,8
KY,2023,Full OA,7,7,0
FM,2023,Full OA,4,2,0
CU,2023,Full OA,481,127,2
GL,2023,Hybrid,35,23,12
CW,2023,Hybrid,108,20,2
TC,2023,Full OA,1,1,0
MU,2023,Hybrid,200,20,4
CF,2023,Hybrid,51,2,0
MV,2023,Full OA,34,27,1
AS,2023,Hybrid,5,0,0
BJ,2023,Hybrid,724,110,7
PF,2023,Full OA,13,10,2
BW,2023,Hybrid,341,65,24
GF,2023,Hybrid,48,10,2
GN,2023,Full OA,26,20,0
LR,2023,Hybrid,20,3,1
BT,2023,Hybrid,114,18,1
MQ,2023,Full OA,36,30,1
DJ,2023,Hybrid,20,5,1
GM,2023,Full OA,69,56,3
LS,2023,Hybrid,58,12,2
RE,2023,Hybrid,126,21,7
TT,2023,Full OA,108,71,1
VG,2023,Hybrid,8,4,0
LR,2023,Full OA,16,13,0
NC,2023,Hybrid,35,12,0
GP,2023,Hybrid,76,23,3
LA,2023,Full OA,50,35,6
GP,2023,Full OA,38,28,0
CG,2023,Hybrid,234,20,0
SZ,2023,Full OA,33,25,2
MM,2023,Full OA,109,59,2
SX,2023,Hybrid,56,4,0
TD,2023,Hybrid,86,5,1
GQ,2023,Hybrid,2,1,0
TL,2023,Full OA,22,11,0
SJ,2023,Hybrid,6,2,2
CF,2023,Full OA,16,12,0
AD,2023,Full OA,6,2,0
LA,2023,Hybrid,138,29,2
AW,2023,Hybrid,11,3,1
MC,2023,Full OA,22,19,5
BS,2023,Hybrid,35,6,2
ER,2023,Hybrid,35,4,1
BI,2023,Hybrid,159,34,2
AW,2023,Full OA,6,5,1
LS,2023,Full OA,26,16,0
TM,2023,Full OA,19,0,0
SC,2023,Hybrid,14,3,1
WS,2023,Hybrid,12,2,0
MR,2023,Full OA,23,18,0
GY,2023,Full OA,16,11,0
JM,2023,Full OA,59,41,0
ST,2023,Full OA,32,5,0
GI,2023,Full OA,5,4,2
AO,2023,Full OA,51,18,0
CW,2023,Full OA,15,7,1
TO,2023,Hybrid,9,0,0
NC,2023,Full OA,34,27,1
CV,2023,Hybrid,21,3,2
FM,2023,Hybrid,2,2,1
GU,2023,Full OA,23,20,0
BB,2023,Hybrid,86,5,2
GM,2023,Hybrid,85,21,8
PW,2023,Hybrid,8,1,1
BS,2023,Full OA,5,4,0
VU,2023,Full OA,2,1,0
VI,2023,Full OA,12,9,0
GW,2023,Full OA,14,4,0
SR,2023,Hybrid,48,4,0
GA,2023,Hybrid,90,8,2
ER,2023,Full OA,17,15,0
BB,2023,Full OA,31,21,0
VI,2023,Hybrid,21,3,0
FO,2023,Hybrid,23,6,1
MC,2023,Hybrid,40,8,1
SM,2023,Full OA,9,7,0
AD,2023,Hybrid,6,3,2
MS,2023,Full OA,2,0,0
GI,2023,Hybrid,11,4,1
MF,2023,Hybrid,6,0,0
BZ,2023,Hybrid,10,3,0
IM,2023,Hybrid,3,0,0
SJ,2023,Full OA,3,3,0
WS,2023,Full OA,7,4,1
SB,2023,Hybrid,5,4,2
VA,2023,Full OA,5,0,0
BM,2023,Hybrid,8,1,1
KY,2023,Hybrid,15,5,1
VC,2023,Hybrid,7,0,0
MF,2023,Full OA,4,0,0
SC,2023,Full OA,7,5,0
VU,2023,Hybrid,9,2,1
SB,2023,Full OA,1,1,0
LC,2023,Full OA,2,2,0
FK,2023,Hybrid,8,3,1
AX,2023,Full OA,1,1,0
GQ,2023,Full OA,2,2,0
HT,2023,Full OA,27,15,0
GD,2023,Full OA,34,27,0
DM,2023,Hybrid,10,1,0
VC,2023,Full OA,4,4,0
VA,2023,Hybrid,19,0,0
SR,2023,Full OA,9,2,0
SX,2023,Full OA,8,7,0
KI,2023,Hybrid,3,1,0
MP,2023,Hybrid,2,1,0
VG,2023,Full OA,1,0,0
AS,2023,Full OA,1,0,0
YT,2023,Full OA,1,0,0
NU,2023,Hybrid,2,0,0
CK,2023,Hybrid,1,1,0
JE,2023,Hybrid,3,2,2
FK,2023,Full OA,3,3,0
BZ,2023,Full OA,2,2,0
TO,2023,Full OA,4,2,0
BM,2023,Full OA,3,3,0
TV,2023,Hybrid,1,0,0
US,2022,Hybrid,326058,38773,6523
ID,2022,Hybrid,223241,45435,91
DE,2022,Full OA,38486,32626,7186
IN,2022,Hybrid,148467,9902,130
AU,2022,Hybrid,41475,10397,7439
IT,2022,Hybrid,43254,11107,6966
BD,2022,Hybrid,8093,1320,66
ES,2022,Hybrid,40630,13031,9908
RU,2022,Hybrid,92402,8983,174
CN,2022,Hybrid,461694,41093,1148
GB,2022,Hybrid,80644,35157,29248
NL,2022,Hybrid,24252,13316,11259
HU,2022,Hybrid,7392,2421,829
GR,2022,Hybrid,8250,998,470
BY,2022,Hybrid,2463,476,7
NA,2022,Hybrid,851311,80256,1
BR,2022,Hybrid,72143,6500,205
CN,2022,Full OA,261882,234649,368
TW,2022,Full OA,14162,12986,16
CA,2022,Full OA,22556,17960,584
IN,2022,Full OA,38657,22177,54
ID,2022,Full OA,52444,23763,28
ZA,2022,Full OA,10287,7922,264
FR,2022,Hybrid,48713,6076,1988
NZ,2022,Hybrid,6578,1609,1047
DE,2022,Hybrid,68562,26576,18991
ZA,2022,Hybrid,10438,2096,818
IE,2022,Hybrid,6912,2555,2177
JP,2022,Hybrid,68711,7181,338
SI,2022,Hybrid,2357,724,442
DK,2022,Hybrid,9881,3667,2672
NO,2022,Hybrid,8250,4427,3627
BE,2022,Hybrid,11901,1711,293
US,2022,Full OA,130720,104573,2140
AU,2022,Full OA,18540,15776,1088
GB,2022,Full OA,34815,28096,4823
SE,2022,Hybrid,13708,8783,7431
IR,2022,Full OA,19781,12345,23
FI,2022,Full OA,4736,3626,505
HR,2022,Full OA,3996,1926,6
IT,2022,Full OA,38582,32522,750
RU,2022,Full OA,30774,11794,28
HU,2022,Full OA,5273,3299,315
CZ,2022,Full OA,6272,4133,41
ES,2022,Full OA,36652,22194,1106
BR,2022,Full OA,54033,17545,53
NA,2022,Full OA,151477,49875,0
SA,2022,Full OA,13389,11989,43
JP,2022,Full OA,33956,30021,156
PL,2022,Full OA,28137,17641,94
FR,2022,Full OA,21618,15241,1369
NZ,2022,Full OA,2836,2277,149
CA,2022,Hybrid,46354,6523,2252
EG,2022,Hybrid,20816,2809,110
NL,2022,Full OA,12504,10642,1754
FI,2022,Hybrid,8419,4815,4204
CH,2022,Hybrid,15618,7335,5410
ME,2022,Hybrid,233,20,0
AT,2022,Hybrid,9356,4640,3845
PK,2022,Hybrid,19106,2475,51
AE,2022,Hybrid,3442,438,29
KE,2022,Hybrid,3844,673,22
XK,2022,Hybrid,372,84,1
MY,2022,Hybrid,21216,2697,93
TW,2022,Hybrid,14021,1337,54
TR,2022,Hybrid,64575,5955,299
CZ,2022,Hybrid,9450,1340,164
KR,2022,Hybrid,40337,4805,524
PL,2022,Hybrid,22015,5105,2195
AR,2022,Hybrid,7395,658,44
MX,2022,Hybrid,17141,1936,62
CH,2022,Full OA,9784,7928,962
IE,2022,Full OA,3093,2559,680
RO,2022,Full OA,8371,5891,8
AT,2022,Full OA,5361,4546,568
NG,2022,Full OA,6472,3637,24
KR,2022,Full OA,31957,27387,112
TR,2022,Full OA,19869,5672,105
PT,2022,Hybrid,11521,2424,803
IR,2022,Hybrid,40108,3287,90
CR,2022,Hybrid,1061,165,6
RO,2022,Hybrid,6052,840,32
TT,2022,Full OA,141,104,0
TN,2022,Full OA,1943,1525,6
HK,2022,Hybrid,8328,679,75
EC,2022,Hybrid,5863,861,30
PH,2022,Hybrid,4748,645,15
PH,2022,Full OA,1526,845,5
VN,2022,Full OA,3633,2482,13
NO,2022,Full OA,5663,4500,504
MX,2022,Full OA,13012,6194,8
CM,2022,Full OA,816,639,6
PR,2022,Full OA,343,204,2
PK,2022,Full OA,11496,8546,26
BG,2022,Full OA,1866,1031,1
KZ,2022,Hybrid,4912,735,15
QA,2022,Hybrid,1675,514,170
KH,2022,Hybrid,600,72,3
MA,2022,Full OA,2509,1701,9
MW,2022,Full OA,264,211,11
PT,2022,Full OA,10344,7336,49
KW,2022,Full OA,618,487,1
SE,2022,Full OA,8823,7308,3359
LV,2022,Full OA,921,633,2
EG,2022,Full OA,15449,9015,30
HK,2022,Full OA,3398,2897,15
MM,2022,Hybrid,278,29,2
TH,2022,Full OA,7489,6396,20
MY,2022,Full OA,9423,6962,16
CL,2022,Full OA,6366,2866,16
BE,2022,Full OA,6624,5192,69
DZ,2022,Full OA,2036,933,4
CY,2022,Hybrid,1765,233,23
UA,2022,Hybrid,19415,2393,35
NG,2022,Hybrid,15961,2026,77
BD,2022,Full OA,4001,3024,25
DK,2022,Full OA,5576,4572,119
GH,2022,Hybrid,3333,473,29
ET,2022,Full OA,5706,5165,20
UA,2022,Full OA,9865,2035,1
CO,2022,Full OA,8656,2568,11
SG,2022,Hybrid,8052,895,86
TZ,2022,Full OA,893,700,16
AE,2022,Full OA,2438,2037,6
LB,2022,Full OA,901,737,2
GR,2022,Full OA,6454,5442,118
CO,2022,Hybrid,7557,1108,297
IL,2022,Hybrid,9650,1598,772
LI,2022,Hybrid,47,14,11
RS,2022,Full OA,4184,1797,3
IL,2022,Full OA,4943,4175,49
VE,2022,Full OA,627,94,2
AR,2022,Full OA,6624,1430,16
LU,2022,Hybrid,743,281,34
ZW,2022,Hybrid,745,94,11
NP,2022,Hybrid,3724,388,11
VN,2022,Hybrid,8703,686,71
QA,2022,Full OA,1329,1094,161
JO,2022,Full OA,2191,1743,9
SN,2022,Full OA,234,167,1
BF,2022,Full OA,230,194,3
LY,2022,Full OA,193,79,0
SS,2022,Hybrid,483,95,28
MO,2022,Hybrid,1636,146,4
RW,2022,Hybrid,395,62,9
PE,2022,Hybrid,5905,726,16
UZ,2022,Hybrid,3571,340,4
SK,2022,Hybrid,2791,398,35
KG,2022,Hybrid,957,39,0
LK,2022,Full OA,1193,645,9
NP,2022,Full OA,1692,726,9
UG,2022,Full OA,959,824,8
TH,2022,Hybrid,9402,1279,70
AL,2022,Hybrid,476,63,4
IS,2022,Full OA,394,247,8
LT,2022,Full OA,2398,1554,9
BW,2022,Hybrid,270,36,6
AZ,2022,Hybrid,1599,261,3
EE,2022,Full OA,874,595,8
GH,2022,Full OA,2114,1680,18
IQ,2022,Full OA,6673,3381,9
MN,2022,Hybrid,665,143,3
PS,2022,Hybrid,692,92,8
RS,2022,Hybrid,3618,364,20
CU,2022,Full OA,537,150,0
SD,2022,Hybrid,999,173,9
GD,2022,Hybrid,117,5,0
SG,2022,Full OA,3554,2762,19
BO,2022,Full OA,367,80,3
SN,2022,Hybrid,603,57,5
LT,2022,Hybrid,1778,254,37
LK,2022,Hybrid,2330,445,32
AZ,2022,Full OA,393,159,1
SD,2022,Full OA,458,326,4
OM,2022,Hybrid,1094,109,9
CY,2022,Full OA,1009,727,3
IQ,2022,Hybrid,12583,1880,32
JO,2022,Hybrid,3972,402,15
PE,2022,Full OA,3607,1006,9
RW,2022,Full OA,289,222,3
LV,2022,Hybrid,1363,137,8
KE,2022,Full OA,1410,1110,22
MA,2022,Hybrid,6776,536,21
KZ,2022,Full OA,1719,856,5
XK,2022,Full OA,274,133,1
CL,2022,Hybrid,6522,610,75
SL,2022,Hybrid,95,10,1
SK,2022,Full OA,2617,1704,8
ER,2022,Hybrid,27,2,0
CG,2022,Hybrid,173,14,0
MW,2022,Hybrid,223,43,13
TD,2022,Hybrid,66,5,0
SI,2022,Full OA,2445,1588,28
SA,2022,Hybrid,15058,2217,204
BJ,2022,Hybrid,612,85,5
BO,2022,Hybrid,613,105,4
BW,2022,Full OA,198,145,6
EE,2022,Hybrid,1168,218,44
CU,2022,Hybrid,844,127,6
BJ,2022,Full OA,264,189,2
LU,2022,Full OA,364,292,12
BY,2022,Full OA,745,116,3
TM,2022,Hybrid,67,7,0
UZ,2022,Full OA,335,139,2
CM,2022,Hybrid,2005,208,8
ME,2022,Full OA,180,82,0
ZM,2022,Hybrid,530,53,5
TT,2022,Hybrid,190,14,0
PS,2022,Full OA,449,336,4
TZ,2022,Hybrid,1695,236,23
NA,2022,Hybrid,195,36,7
KW,2022,Hybrid,986,122,9
SO,2022,Hybrid,131,20,1
GA,2022,Full OA,56,49,3
RE,2022,Full OA,82,62,5
IS,2022,Hybrid,461,112,18
EC,2022,Full OA,2925,942,8
DZ,2022,Hybrid,5581,427,14
FO,2022,Full OA,29,22,0
MZ,2022,Hybrid,864,75,6
BA,2022,Full OA,889,246,1
NA,2022,Full OA,113,90,2
GY,2022,Hybrid,108,10,0
VE,2022,Hybrid,639,93,4
TN,2022,Hybrid,4698,337,23
NI,2022,Full OA,207,15,0
GT,2022,Full OA,181,43,2
ML,2022,Hybrid,264,28,2
BG,2022,Hybrid,3165,274,17
LY,2022,Hybrid,538,135,5
YE,2022,Hybrid,732,80,5
LI,2022,Full OA,10,10,1
ET,2022,Hybrid,3519,672,38
BA,2022,Hybrid,1051,100,3
MO,2022,Full OA,835,707,1
HR,2022,Hybrid,3113,285,13
MN,2022,Full OA,342,202,0
LR,2022,Full OA,16,13,0
ZM,2022,Full OA,289,210,2
SS,2022,Full OA,160,30,5
BN,2022,Hybrid,283,25,1
TL,2022,Hybrid,64,21,0
TJ,2022,Full OA,402,66,0
CR,2022,Full OA,1202,193,3
SL,2022,Full OA,51,42,3
BH,2022,Hybrid,425,40,2
AM,2022,Hybrid,1413,177,2
BN,2022,Full OA,215,147,0
AG,2022,Hybrid,227,28,0
TJ,2022,Hybrid,1697,312,0
LB,2022,Hybrid,1649,155,10
GA,2022,Hybrid,91,11,1
CI,2022,Hybrid,713,66,7
MD,2022,Hybrid,532,112,3
GE,2022,Full OA,276,104,3
GE,2022,Hybrid,1021,154,5
AM,2022,Full OA,308,100,1
GP,2022,Full OA,56,39,2
AL,2022,Full OA,282,116,1
SY,2022,Hybrid,502,96,4
ZW,2022,Full OA,377,255,2
LA,2022,Full OA,67,48,5
PR,2022,Hybrid,643,110,8
GM,2022,Hybrid,63,22,5
CD,2022,Hybrid,450,60,1
BH,2022,Full OA,239,168,2
BF,2022,Hybrid,448,45,1
MU,2022,Hybrid,160,14,4
NI,2022,Hybrid,216,22,1
