n_articles,cr_publisher,publication_year
21213,Emerald,2024
19337,Emerald,2023
18673,Emerald,2022
21035,Emerald,2021
19502,Emerald,2020
18601,Emerald,2019
17463,Emerald,2018
2569919,Other,2025
2557012,Other,2024
2329368,Other,2023
2123695,Other,2022
2067937,Other,2021
1921743,Other,2020
1722805,Other,2019
1593498,Other,2018
